variable,G1_mean,G1_CV,HU_mean,HU_CV
CNT_7.fcs,6139,5.55,NA,NA
yHRW134,16798,10.5,16798,7.34
yHRWh10,23917,7.41,27182,6.64
yHRWh112,12749,8.58,13703,7.52
yHRWh114,12430,9.62,13180,7.2
yHRWh121,14462,14,14281,26.2
yHRWh123,13479,11.4,13680,7.69
yHRWh126,13339,1,13963,9.78
yHRWh129,28402,5.54,14361,13.5
yHRWh13,27337,15.5,31969,10.9
yHRWh131,28549,8.01,16313,6.21
yHRWh18,27857,8.77,32240,3.69
yHRWh18_R,28175,7.45,31802,3.81
yHRWh19,27029,5.4,27659,4.41
yHRWh22,39498,19.1,42152,3.9
yHRWh24,33141,9.56,34085,4.47
yHRWh358,29192,6.59,31192,8.85
yHRWh39_R,34380,21.8,46664,12.6
yHRWh4,32490,4.84,31462,4
yHRWh42,38330,11.5,39396,3.8
yHRWh51,40518,6.65,39070,8.55
yHRWh7,27767,6.73,24104,11.5
yHRWh8,28216,8.32,31346,6.68
yHRWh88_1,26200,15.5,33667,6.64
yHRWh88_2,16525,9.42,17727,16.5
yHRWh88_3,31499,8.69,31366,5.8
yHRWh88_4,32644,24.8,39313,9.28
yHRWh88_5,29323,1,40188,8.8